PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Research House for Asian Art,Huahua Jiang,3217,,S,Morgan,St,11,Bridgeport,35th/Halsted,02/25/2011,01/11/2012,Commercial,"façade, HVAC, ADA bathroom, lighting, flooring, pavement, roof,",96187.5,128250,8,4,POINT (-87.650774032 41.835842008)
"Red Barrel, LLC dba Red Barrel",Luis A Vazquez,5214,,S,Archer,Ave,14,Archer Heights,51st/Archer,11/22/2021,11/29/2022,General Commercial,"Roof replacement., Flatt Roof and pitch roof tear-off and replacement: install parapet blocking and roof curb wood blocking for both roofs,raise all mechanical roof cubs, metal flashings around flatt and pitch roof, roof insulation, TPO membrane over flat roff and paper felt over pitch roof, electrical: ddisconnect roof equipment and reconnect, install disconnects to meet code. Masonry: repair parapet caps and tuckpoint before new membrane, permit fees., exterior renovations including flat Roof and pitch roof tear-off and replacement: install parapet blocking and roof curb wood blocking for both roofs, raise all mechanical roof cubs, metal flashings around flat and pitch roof, roof insulation, TPO membrane over flat roof and paper felt over pitch roof.",81180,158980.21,5,20,POINT (-87.735227993 41.800130993)
Active Electrical Supply Co.,Susan Swan,4240,,W,Lawrence,Ave,39,Albany Park,Lawrence/Pulaski,08/09/2013,08/05/2014,Industrial,"a new storefront system with tempered glass and new aluminum capping, new masonry knee walls, tuckpointing and masonry repairs including lintel repairs and replacements, garage service door and rear entry door replacements, parking lot paving with asphalt and installation of new wrought iron fencing, installation of security camera system (DVR, monitors and software not included), installation of low voltage alarm system, and installation of new vinyl, wood based flooring spanning 5,000 SF, re-roofing including tuckpointing and masonry repairs on parapet walls and behind flashings, installation of new gutter and downspouts, tuckpointing and masonry repairs on east elevation, new exterior service doors, and installation of aluminum capping on fascia, trim and soffits",150000,306314.1,0,41,POINT (-87.734579988 41.96843701)
Ray Rovello,Ray Rovello,6616,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,07/24/2013,06/04/2014,Commercial,"masonry and tuckpointing work on the front of the building and south elevation including parapet wall, replacement of limestone window sills on the façade, replacement of hot water heater and boiler, installation of new 200 amp electrical service with three new circuit panels, a complete roof replacement including decking repairs, new membrane, flashings and coping repairs, and general contractor and permit fee soft costs",43822.88,58430.5,0,7,POINT (-87.722922018 41.772653019)
"DLV Printing Service, Inc.",Vernita Johnson,5825,,W,Corcoran,Pl,29,Austin,Madison/Austin,12/05/2019,01/22/2021,General Commercial,"furnish and install a new roofing membrane; tuck point parapet walls and rear exterior wall; construct new restroom facility (frame out new restroom; replace subfloor; furnish and install new plumbing lines and bathroom fixtures; drywall, painting, and trim work for finished restroom); construct new dark room (frame out new room; furnish and install ventilation and exhaust ductwork and registers; painting and trim work for finished dark room); furnish and install approx. 30 new LED light fixtures; install new level concrete flooring (excavation, aggregate base, and new concrete); HVAC system improvements (furnish and install materials, fixtures, and hardware for air filtration system",60000,80000,0,0,POINT (-87.771093989 41.886849996)
Architech's Inc,Eswin Guerra,2541,,W,Division,St,26,West Town,Humboldt Park,07/24/2010,09/30/2011,Commercial,Complete Renovation,79542.15,225435,2,1,POINT (-87.691135997 41.902740994)
Los Altos Operating LLC dba Cantina 1910,Michael Sullivan,5025,,N,Clark,St,47,Uptown,Clark/Montrose,05/21/2015,03/15/2016,Commercial,"the following improvements to the existing building at 5025 N. Clark only: masonry repairs; structural framing; rough carpentry and rough carpentry materials; insulation; roofing; joint sealers; interior doors, frames, and hardware; roof hatch; storefront windows and frames; drywall; epoxy flooring; and building system renovations (mechanical/HVAC, electrical, plumbing, and fire protection system)",100000,3007359.75,50,0,POINT (-87.667707991 41.973240009)
Harry Kemperas,Harry Kemperas,3251,,W,Bryn Mawr,Ave,33,North Park,Lawrence/Kedzie,,01/10/2007,Commercial,four store front renovations,11100,22000,,,POINT (-87.71097001 41.982886992)
Advance Equipment Manufacturing Co.,John W. Wedekind,4612,,W,Superior,St,28,Austin,Northwest Industrial Corridor,03/15/2016,10/06/2016,Industrial,"installation of an automatic sprinkler system (furnished and installed a new 8” water service into the building, one (1) backflow preventer detector, new fire department connection, new sprinkler lines, new inspector’s test connection and drain line, new control valve, installed sixty-two (62) upright sprinkler heads, and five (5) new pendent sprinkler heads)",59495,118990,0,11,POINT (-87.741707958 41.894361983)
Naub LLC,Dev Patel,118,130,E,51st,St,3,Grand Boulevard,47th/King,06/04/2016,04/21/2017,Commercial,"furnish and install five (5) new HVAC systems (five new furnaces and five new HVAC condensers); furnish and install a new roofing system (demolition; repair and replace wood decking as needed; repair and replace copings as needed; install new insulation; install new TPO roofing membrane; install flashings; install roof vents and pitch pans; and furnish and install new gutters, scuppers, and downspouts; apply new silver roof coating).  Address range is 118-30 E. 51st St.",100000,164330,0,24,POINT (-87.621516999 41.802206981)
Steiner Industries,Robert Steiner,5801,,N,Tripp,Ave,39,North Park,Peterson/Pulaski,06/04/2010,09/06/2011,Industrial,"electric eye, hvac, roof, electric eye, hvac, roof, lighting, garage door,",110147.9,220295.79,,,POINT (-87.733633 41.986090011)
"Modern Process Equipment, Inc.",Daniel Ephraim,3150,,S,Kolin,Ave,22,South Lawndale,Little Village,09/16/2017,07/20/2018,Industrial,"roof repairs, installation of seven (7) new skylights, masonry work includes cutting openings for new window and door; and interior build-out of four (4) new offices, kitchenette, restroom, and conference room. The renovations included carpentry work for new layout with framing, insulation, drywall, painting, drop ceilings, carpet and tile flooring, doors, windows, and lighting fixtures; construct a new restroom (metal framing, insulation, drywall, toilet, sink, vanity, tile, new GFI switches, outlets, painting, and door); furnish and install an HVAC rooftop unit (with associated duct work, venting, and wiring), and installation of hydronic radiant heating in concrete floor, and concrete poured over existing pad; electrical work including new conduit, switches, outlets, and emergency lighting; and plumbing work including new drains, water lines, vents, and plumbing fixtures for restrooms and kitchenette.",150000,484412.16,15,75,POINT (-87.733189011 41.835453004)
Karen Bowman,Karen Bowman,7400,,S,Racine,Ave,17,West Englewood,79th Street Corridor,02/09/2014,10/23/2014,Commercial,"excavating the existing concrete and gravel lot, installing a new gravel sub-base, concrete barrier curbs, and installing a new asphalt surface with new drains and a concrete step by a rear exit doorway,",11346,24400,0,7,POINT (-87.654439019 41.759427004)
Maria Gonzalez,Maria Gonzalez,2636,,W,Division,St,26,West Town,Humboldt Park,06/26/2018,10/17/2018,Commercial,Removal and replacement of the existing HVAC system; and removal and replacement of the existing storefront with a new aluminum frame and new windows.,15920.25,21227,0,7,POINT (-87.693425011 41.903248016)
"GEB, LLC",Graham E. Bowles,841,,W,Randolph,St,27,Near West Side,Near West,03/30/2012,04/19/2013,Commercial,"build-out of 841 W. Randolph for restaurant functionality: concrete work, masonry and stonework, metal handrail fixtures, wall framing, rough and trim carpentry, insulation, doors, storefront system, windows, garage door, drywall, fiberglass panels, acoustical ceiling tile, tile work, concrete stain and epoxy, stone countertops, wallpaper, painting, bathroom fixtures, kitchen hoods, walk-in coolers, HVAC, plumbing, and electrical",99470.8,461569.59,50,30,POINT (-87.649078959 41.883956982)
"Caseline, Inc.",Hassan Yamin,1900,,S,Western,Ave,28,Lower West Side,Western/Ogden,09/03/2019,09/07/2021,Manufacturing,"elevator modernization, window and door replacement, HVAC, masonry repair, floor repair and resurfacing, metal deck replacement",150000,352881.04,0,4,POINT (-87.686124038 41.85546002)
CLOSED,Tim Fitzgerald,11125,,S,Kedzie,Ave,19,Mount Greenwood,111th/Kedzie,,05/23/2002,Commercial,Masonry / Floor Replacement / Plumbing / HVAC / Roof / Retail space remodel,47634,88864,,,POINT (-87.700563962 41.690788982)
Madison Pine Dental Clinic,James Poulos,5470,,W,Madison,St,29,Austin,Madison/Austin,,03/25/2009,Commercial,"Façade, flooring, renovations, façade, doors, handicap accessible entrace, façade, doors, handicap accessible entrace",122238,244476,,,POINT (-87.762870001 41.880555019)
Ex-Cel Corned Beef Co,William Bojeczko,1009,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,06/11/2010,Industrial,"replace sewer pipe, windows &amp; HVAC, windows,",12725.5,25451,,,POINT (-87.652626013 41.885344019)
"Bronzeville Boutique, Inc.",William Salaam,4259,,S,King,Dr,3,Grand Boulevard,47th/King,01/18/2017,01/04/2018,Commercial,"HVAC system improvements (remove existing units and replace a/c condenser and furnace; furnish and install thermostat; furnish and install associated duct work and electrical work), remove and replace the existing wood-framed windows with three aluminum frame window systems and the exterior doors; furnish and install interior-mounted security shutters; remove and replace the existing toilet, vanity counter, and ceramic tile flooring in the restroom  and replace with a new toilet, counter, and flooring; remove nine existing fluorescent fixtures and replace with LED fixtures; furnish and install LED track lighting for window display areas; install new electrical outlets in floor under the display counter; remove existing carpet, replace subflooring as needed, and furnish and install approx. 500 square feet of hardwood flooring; carpentry to frame out a changing room and platform; painting and drywall; permit expense",50000,71000,0,2,POINT (-87.616441424 41.817177136)
"Milwaukee Property Management, LLC",Orel Grinfeld,3380,,N,Milwaukee,Ave,30,Irving Park,Avondale,11/22/2017,10/03/2018,Commercial,"removal and replacement of the existing storefront frames, glass, and doors and rebuild knee wall at 3356 N. Karlov, 3358 N. Karlov, and 3380 N. Milwaukee; removal and replacement of the ground floor rear windows at 3356 N. Karlov, 3358 N. Karlov, and 3360 N. Karlov; interior demolition at 3356 N. Karlov, 3358 N. Karlov, 3360 N. Karlov, and 3380 N. Milwaukee; rough electrical for new light fixtures, new outlets, fire alarms, and switches at 3356 N. Karlov, 3358 N. Karlov, 3360 N. Karlov, and 3380 N. Milwaukee; bathroom renovations (new rough plumbing for bathroom drain, supply lines, and gas lines; install new sink, faucet, toilet fixtures; install exhaust, tile flooring, and counter) at 3356 N. Karlov and 3358 N. Karlov; furnished and installed a new HVAC system and duct work at 3356 N. Karlov; drywall interior walls, painting, install new concrete and wood flooring at 3356 N. Karlov, 3358 N. Karlov, and 3360 N. Karlov",100000,164050,7,0,POINT (-87.729975976 41.942587011)
Half Italian Grocer LLC,Nancy Kamp,2643,,N,Milwaukee,Ave,35,Logan Square,Fullerton/Milwaukee,08/25/2011,05/07/2012,Commercial,"storefront, windows, doors, awnings, hvac, water service, electrical, bathroom, hood, stove,",132361.69,176482.25,27,,POINT (-87.708484022 41.930036997)
Xotic Tan,Xotic Tan,3129,,W,Armitage,Ave,35,Logan Square,Fullerton/Milwaukee,,03/17/2005,Commercial,"Floors / Electrical / Bathroom / HVAC / Signage, Floors / Electrical / Bathroom / HVAC / Signage",50000,178215,,,POINT (-87.70663598 41.91716998)
"Steve Albini, Inc. dba Electrical Audio",Steven Albini,2621,,W,Belmont,Ave,33,Avondale,Addison Corridor (South),11/13/2018,07/23/2019,Commercial,Tuckpointing and glass block; HVAC and related roofing/electrical; window replacement; new roof hatch; exterior doors replacement; concrete replacement,66057.75,88077,,5,POINT (-87.69379197 41.939170003)
Katerina's,Katerina's,1920,,W,Irving Park,Rd,47,North Center,Western Avenue (South),,04/20/2007,Commercial,Storefront,25431.21,33908.28,,,POINT (-87.677227989 41.954440992)
Kim and Larry's Unisex Salon,Kimberly Vinson,3835,,W,Cermak,Rd,22,South Lawndale,Ogden/Pulaski,10/27/2013,02/13/2015,Commercial,": replacement of basement beam, repair the structural beam supporting the front façade, roof replacement, tuck-pointing installation of new asphalt for parking, installing framing for bathroom, new windows, rough plumbing and rough electrical systems.",44031.75,85000,4,6,POINT (-87.721255025 41.851418015)
Beverly Arts Center,Heather Robinson,2407,,W,111th,St,19,McKinley Park,Western/Rock Island,11/29/2012,03/27/2014,Commercial,"windows, carpet replacement, and electrical repairs to septic pump",5869.7,23478.8,0,0,POINT (-87.681564031 41.691515987)
"Links Hall, Inc.",Roell A. Schmidt,3111,,N,Western,Ave,32,North Center,Addison Corridor (South),09/06/2013,07/14/2015,Commercial,"putting in a new floor system for their main stage area including new sub-flooring, wood floors, and epoxy flooring, leveling work, painting and finishing, and masonry and carpentry work associated with putting in new windows in office area, plumbing work to one of the restrooms and mop sink, and soft costs including permit fees, masonry repairs on front elevation including replacement of outer wythes of face brick along parapet walls down to window lintels with like materials; replacement of five (5) steel lintels; tuckpointing work; refurbish and reinstall limestone capstones along front elevation roofline; install new flashings for parapet walls; and masonry repairs to rear (east and south) elevations including replacement of face brick as needed, replacement of one (1) steel lintel, and tuckpointing work",97536.75,133334,2,5,POINT (-87.687642 41.938102987)
Nail Works!,Thuy Thi Nguyen,1738,,W,119th,St,34,Morgan Park,119th & I-57,07/09/2009,12/17/2009,Commercial,"sign, flooring, lighting, plumbing, electrical, exhaust system, sprinkler system, security, water heater, carpentry, fire alarm, trims",45000,90000,,,POINT (-87.664245117 41.677570013)
Oriental Kitchen Corporation,Steve Manio,223,,N,Justine,St,27,Near West Side,Kinzie Industrial Corridor,11/02/2019,09/24/2020,Manufacturing,"flooring work in the hallways, kitchen, storage areas, and loading areas including grinding and prepping the existing concrete floor for epoxy coating, the application of 100% solid epoxy primer and epoxy topcoat, and finish with a 100% epoxy clear topcoat.",34492.5,45990,0,27,POINT (-87.665172968 41.886071987)
Mom's Washland,Kwan H. Kim,5637,,W,Chicago,Ave,29,Austin Commercial,Austin Commercial,10/08/2021,11/14/2022,General Commercial,"Roofing work, installation of 5 new roof top HVAC units, ceiling and flooring repairs, electrical upgrades, and new doors. , roofing work including repairs as needed and apply aluminum coating, and wrap on new RTU curbs; remove existing automatic sliding door at rear, install new double doors with hardware, metal security doors at front entrance; interior carpentry including demolish existing office and construct new office per plans, installation of drywall, flooring, ceiling tiles and painting; HVAC work including installation of new (4) four 5-ton roof top units with economizers, new curbs, and change direction of fresh air intake spout; 
replace smoke and carbon monoxide detectors as needed; and architectural services and permit fees",100000,144000,1,0,POINT (-87.766932447 41.894766533)
